batsman,2008,2009,2010,2011,2012,2013,2014,2015,2016
V Kohli,165.0,246.0,307.0,557.0,364.0,639.0,359.0,505.0,973.0
SK Raina,421.0,434.0,528.0,438.0,441.0,548.0,523.0,374.0,399.0
RG Sharma,404.0,362.0,404.0,372.0,433.0,538.0,390.0,482.0,489.0
G Gambhir,534.0,286.0,277.0,378.0,590.0,406.0,335.0,327.0,501.0
CH Gayle,,184.0,292.0,608.0,733.0,720.0,196.0,491.0,227.0
RV Uthappa,320.0,175.0,374.0,264.0,405.0,434.0,660.0,364.0,394.0
DA Warner,,163.0,282.0,324.0,256.0,410.0,528.0,562.0,848.0
MS Dhoni,414.0,332.0,287.0,392.0,357.0,461.0,371.0,372.0,284.0
AB de Villiers,95.0,465.0,111.0,312.0,319.0,373.0,395.0,513.0,687.0
S Dhawan,340.0,40.0,191.0,400.0,569.0,311.0,377.0,353.0,501.0
YK Pathan,435.0,261.0,333.0,283.0,194.0,332.0,268.0,312.0,361.0
V Sehwag,406.0,198.0,356.0,424.0,495.0,295.0,455.0,99.0,
AM Rahane,4.0,144.0,,120.0,560.0,488.0,339.0,540.0,480.0
SR Watson,472.0,,185.0,330.0,255.0,543.0,246.0,347.0,179.0
KD Karthik,145.0,288.0,278.0,282.0,238.0,510.0,325.0,141.0,335.0
M Vijay,,60.0,458.0,434.0,336.0,312.0,207.0,251.0,453.0
BB McCullum,188.0,286.0,114.0,357.0,289.0,6.0,405.0,436.0,354.0
JH Kallis,199.0,361.0,572.0,424.0,409.0,311.0,151.0,,
Yuvraj Singh,299.0,340.0,259.0,343.0,,238.0,376.0,248.0,236.0
SR Tendulkar,188.0,364.0,618.0,553.0,324.0,287.0,,,
AT Rayudu,,,356.0,395.0,333.0,265.0,361.0,281.0,334.0
SE Marsh,616.0,,147.0,504.0,336.0,300.0,70.0,93.0,159.0
R Dravid,371.0,271.0,256.0,343.0,462.0,471.0,,,
DR Smith,45.0,215.0,22.0,,157.0,418.0,566.0,399.0,324.0
AC Gilchrist,436.0,495.0,289.0,383.0,172.0,294.0,,,
JP Duminy,,372.0,157.0,205.0,244.0,,410.0,414.0,191.0
MEK Hussey,168.0,,37.0,492.0,261.0,733.0,209.0,77.0,
KA Pollard,,,273.0,146.0,220.0,420.0,273.0,419.0,208.0
PA Patel,302.0,142.0,72.0,202.0,194.0,294.0,205.0,339.0,177.0
MK Pandey,3.0,168.0,249.0,246.0,143.0,136.0,409.0,225.0,248.0
DPMD Jayawardene,179.0,219.0,445.0,299.0,335.0,331.0,,,
KC Sangakkara,320.0,332.0,357.0,358.0,200.0,120.0,,,
RA Jadeja,135.0,295.0,,283.0,191.0,201.0,146.0,132.0,191.0
DA Miller,,,,,98.0,418.0,446.0,357.0,161.0
NV Ojha,,168.0,377.0,160.0,255.0,9.0,232.0,137.0,136.0
S Badrinath,192.0,177.0,356.0,396.0,196.0,124.0,,,
