,season,match_id,inning,batting_team,batsman,batsman_runs,balls_faced,Strike-Rate,More-Than-30,More-Than-50,More-Than-100,4s,6s,dismissal_kind,fielder
13,2008,1,2,Royal Challengers Bangalore,V Kohli,1,5.0,20.0,0,0,0,0.0,0.0,bowled,0
56,2008,4,2,Royal Challengers Bangalore,V Kohli,23,14.0,164.29,0,0,0,3.0,1.0,caught,L Ronchi
164,2008,11,1,Royal Challengers Bangalore,V Kohli,13,14.0,92.86,0,0,0,0.0,1.0,caught,M Rawat
224,2008,15,2,Royal Challengers Bangalore,V Kohli,12,7.0,171.43,0,0,0,2.0,0.0,bowled,0
253,2008,17,2,Royal Challengers Bangalore,V Kohli,1,1.0,100.0,0,0,0,0.0,0.0,0,0
315,2008,21,2,Royal Challengers Bangalore,V Kohli,9,5.0,180.0,0,0,0,2.0,0.0,caught,DB Ravi Teja
376,2008,25,1,Royal Challengers Bangalore,V Kohli,34,36.0,94.44,1,0,0,5.0,0.0,caught,S Sreesanth
467,2008,31,1,Royal Challengers Bangalore,V Kohli,0,1.0,0.0,0,0,0,0.0,0.0,caught,YV Takawale
528,2008,35,1,Royal Challengers Bangalore,V Kohli,21,22.0,95.45,0,0,0,4.0,0.0,bowled,0
629,2008,42,2,Royal Challengers Bangalore,V Kohli,3,7.0,42.86,0,0,0,0.0,0.0,bowled,0
716,2008,48,1,Royal Challengers Bangalore,V Kohli,10,16.0,62.5,0,0,0,1.0,0.0,caught,JA Morkel
774,2008,52,1,Royal Challengers Bangalore,V Kohli,38,29.0,131.03,1,0,0,1.0,2.0,caught,SB Bangar
906,2009,60,1,Royal Challengers Bangalore,V Kohli,3,8.0,37.5,0,0,0,0.0,0.0,bowled,0
931,2009,62,1,Kolkata Knight Riders,CH Gayle,10,12.0,83.33,0,0,0,1.0,1.0,caught,Harmeet Singh
957,2009,63,2,Royal Challengers Bangalore,V Kohli,11,13.0,84.62,0,0,0,0.0,1.0,caught,S Badrinath
968,2009,64,2,Kolkata Knight Riders,CH Gayle,44,26.0,169.23,1,0,0,2.0,4.0,0,0
986,2009,65,2,Royal Challengers Bangalore,V Kohli,50,32.0,156.25,1,1,0,7.0,0.0,caught,HH Gibbs
1014,2009,67,2,Kolkata Knight Riders,CH Gayle,41,33.0,124.24,1,0,0,2.0,4.0,caught,RA Jadeja
1021,2009,67,3,Kolkata Knight Riders,CH Gayle,13,5.0,260.0,0,0,0,3.0,0.0,caught,RJ Quiney
1033,2009,68,1,Royal Challengers Bangalore,V Kohli,2,3.0,66.67,0,0,0,0.0,0.0,caught,RS Bopara
1065,2009,70,1,Royal Challengers Bangalore,V Kohli,22,24.0,91.67,0,0,0,1.0,0.0,caught,TM Dilshan
1114,2009,73,2,Kolkata Knight Riders,CH Gayle,12,11.0,109.09,0,0,0,0.0,1.0,caught,SR Tendulkar
1138,2009,75,1,Kolkata Knight Riders,CH Gayle,40,37.0,108.11,1,0,0,6.0,0.0,caught,SP Goswami
1149,2009,75,2,Royal Challengers Bangalore,V Kohli,19,12.0,158.33,0,0,0,1.0,1.0,caught,MN van Wyk
1210,2009,79,2,Kolkata Knight Riders,CH Gayle,7,7.0,100.0,0,0,0,1.0,0.0,bowled,0
1225,2009,80,1,Royal Challengers Bangalore,V Kohli,16,14.0,114.29,0,0,0,2.0,0.0,caught,PP Chawla
1270,2009,83,1,Kolkata Knight Riders,CH Gayle,17,17.0,100.0,0,0,0,3.0,0.0,caught,Yuvraj Singh
1354,2009,89,1,Royal Challengers Bangalore,V Kohli,15,22.0,68.18,0,0,0,1.0,0.0,caught,M Morkel
1427,2009,94,2,Royal Challengers Bangalore,V Kohli,20,22.0,90.91,0,0,0,4.0,0.0,caught,JP Duminy
1525,2009,100,2,Royal Challengers Bangalore,V Kohli,38,35.0,108.57,1,0,0,4.0,2.0,caught,JDP Oram
1703,2009,112,1,Royal Challengers Bangalore,V Kohli,19,9.0,211.11,0,0,0,0.0,2.0,0,0
1739,2009,114,2,Royal Challengers Bangalore,V Kohli,24,17.0,141.18,0,0,0,1.0,2.0,0,0
1758,2009,115,2,Royal Challengers Bangalore,V Kohli,7,8.0,87.5,0,0,0,1.0,0.0,stumped,AC Gilchrist
1816,2010,119,1,Royal Challengers Bangalore,V Kohli,2,5.0,40.0,0,0,0,0.0,0.0,caught,AD Mathews
1861,2010,122,2,Royal Challengers Bangalore,V Kohli,16,12.0,133.33,0,0,0,1.0,1.0,0,0
1972,2010,129,2,Royal Challengers Bangalore,V Kohli,17,12.0,141.67,0,0,0,0.0,2.0,run out,KA Pollard
2016,2010,132,1,Kolkata Knight Riders,CH Gayle,75,60.0,125.0,1,1,0,7.0,2.0,lbw,0
2030,2010,133,1,Royal Challengers Bangalore,V Kohli,24,16.0,150.0,0,0,0,2.0,1.0,stumped,PA Patel
2083,2010,137,1,Kolkata Knight Riders,CH Gayle,14,12.0,116.67,0,0,0,3.0,0.0,caught,MS Bisla
2112,2010,138,2,Royal Challengers Bangalore,V Kohli,38,23.0,165.22,1,0,0,4.0,1.0,0,0
2157,2010,141,2,Kolkata Knight Riders,CH Gayle,30,21.0,142.86,1,0,0,2.0,2.0,caught,A Mishra
2189,2010,143,1,Royal Challengers Bangalore,V Kohli,34,24.0,141.67,1,0,0,3.0,1.0,caught,M Vijay
2217,2010,145,1,Kolkata Knight Riders,CH Gayle,4,7.0,57.14,0,0,0,1.0,0.0,caught,KAJ Roach
2240,2010,146,2,Royal Challengers Bangalore,V Kohli,42,26.0,161.54,1,0,0,4.0,1.0,caught,IK Pathan
2272,2010,149,1,Kolkata Knight Riders,CH Gayle,88,42.0,209.52,1,1,0,6.0,8.0,caught,RS Bopara
2297,2010,150,2,Royal Challengers Bangalore,V Kohli,13,11.0,118.18,0,0,0,1.0,0.0,bowled,0
2347,2010,154,1,Kolkata Knight Riders,CH Gayle,40,21.0,190.48,1,0,0,5.0,2.0,bowled,0
2366,2010,155,1,Royal Challengers Bangalore,V Kohli,58,35.0,165.71,1,1,0,4.0,4.0,caught,A Symonds
2409,2010,158,1,Kolkata Knight Riders,CH Gayle,34,15.0,226.67,1,0,0,6.0,1.0,caught,R Dravid
2469,2010,161,2,Royal Challengers Bangalore,V Kohli,3,4.0,75.0,0,0,0,0.0,0.0,caught,B Sumanth
2488,2010,163,1,Kolkata Knight Riders,CH Gayle,7,4.0,175.0,0,0,0,0.0,1.0,stumped,MS Dhoni
2512,2010,164,2,Royal Challengers Bangalore,V Kohli,14,13.0,107.69,0,0,0,2.0,0.0,caught,SR Watson
2557,2010,167,2,Royal Challengers Bangalore,V Kohli,37,24.0,154.17,1,0,0,4.0,1.0,caught,AP Tare
2570,2010,168,2,Kolkata Knight Riders,CH Gayle,0,2.0,0.0,0,0,0,0.0,0.0,bowled,0
2630,2010,172,2,Royal Challengers Bangalore,V Kohli,9,7.0,128.57,0,0,0,1.0,0.0,caught,AT Rayudu
2722,2011,178,2,Royal Challengers Bangalore,V Kohli,23,18.0,127.78,0,0,0,4.0,0.0,lbw,0
2787,2011,183,1,Royal Challengers Bangalore,V Kohli,12,19.0,63.16,0,0,0,2.0,0.0,caught,DJ Jacobs
2835,2011,186,2,Royal Challengers Bangalore,V Kohli,71,51.0,139.22,1,1,0,5.0,3.0,bowled,0
2867,2011,189,2,Royal Challengers Bangalore,V Kohli,35,28.0,125.0,1,0,0,4.0,1.0,caught,S Anirudha
3013,2011,199,2,Royal Challengers Bangalore,CH Gayle,102,55.0,185.45,1,1,1,10.0,7.0,0,0
3015,2011,199,2,Royal Challengers Bangalore,V Kohli,30,23.0,130.43,1,0,0,3.0,1.0,0,0
3090,2011,204,2,Royal Challengers Bangalore,CH Gayle,26,14.0,185.71,0,0,0,4.0,1.0,caught,Y Venugopal Rao
3095,2011,204,2,Royal Challengers Bangalore,V Kohli,56,38.0,147.37,1,1,0,8.0,2.0,bowled,0
3163,2011,209,1,Royal Challengers Bangalore,CH Gayle,49,26.0,188.46,1,0,0,4.0,4.0,lbw,0
3167,2011,209,1,Royal Challengers Bangalore,V Kohli,67,42.0,159.52,1,1,0,4.0,4.0,caught,Harpreet Singh
3339,2011,221,1,Royal Challengers Bangalore,CH Gayle,107,49.0,218.37,1,1,1,10.0,9.0,caught,RJ Harris
3343,2011,221,1,Royal Challengers Bangalore,V Kohli,27,31.0,87.1,0,0,0,4.0,0.0,bowled,0
3391,2011,224,2,Royal Challengers Bangalore,CH Gayle,44,16.0,275.0,1,0,0,3.0,5.0,bowled,0
3393,2011,224,2,Royal Challengers Bangalore,V Kohli,27,33.0,81.82,0,0,0,3.0,0.0,0,0
3469,2011,229,2,Royal Challengers Bangalore,CH Gayle,70,44.0,159.09,1,1,0,7.0,4.0,0,0
3471,2011,229,2,Royal Challengers Bangalore,V Kohli,39,34.0,114.71,1,0,0,3.0,1.0,0,0
3506,2011,232,2,Royal Challengers Bangalore,CH Gayle,38,12.0,316.67,1,0,0,6.0,2.0,caught,JH Kallis
3511,2011,232,2,Royal Challengers Bangalore,V Kohli,15,15.0,100.0,0,0,0,2.0,0.0,caught,MV Boucher
3584,2011,237,2,Royal Challengers Bangalore,CH Gayle,0,7.0,0.0,0,0,0,0.0,0.0,caught,AC Gilchrist
3591,2011,237,2,Royal Challengers Bangalore,V Kohli,11,11.0,100.0,0,0,0,2.0,0.0,caught,KD Karthik
3658,2011,243,2,Royal Challengers Bangalore,CH Gayle,75,50.0,150.0,1,1,0,4.0,6.0,0,0
3660,2011,243,2,Royal Challengers Bangalore,V Kohli,31,29.0,106.9,1,0,0,5.0,0.0,caught,R Ashwin
3677,2011,245,1,Royal Challengers Bangalore,CH Gayle,8,9.0,88.89,0,0,0,0.0,1.0,lbw,0
3681,2011,245,1,Royal Challengers Bangalore,V Kohli,70,44.0,159.09,1,1,0,5.0,3.0,0,0
3705,2011,247,1,Royal Challengers Bangalore,CH Gayle,89,47.0,189.36,1,1,0,9.0,5.0,caught,JEC Franklin
3709,2011,247,1,Royal Challengers Bangalore,V Kohli,8,12.0,66.67,0,0,0,0.0,0.0,bowled,0
3728,2011,248,2,Royal Challengers Bangalore,CH Gayle,0,3.0,0.0,0,0,0,0.0,0.0,caught,MS Dhoni
3734,2011,248,2,Royal Challengers Bangalore,V Kohli,35,32.0,109.38,1,0,0,1.0,1.0,lbw,0
3811,2012,253,1,Royal Challengers Bangalore,V Kohli,8,8.0,100.0,0,0,0,1.0,0.0,caught,Y Nagar
3904,2012,258,2,Royal Challengers Bangalore,CH Gayle,2,8.0,25.0,0,0,0,0.0,0.0,caught,LR Shukla
3910,2012,258,2,Royal Challengers Bangalore,V Kohli,6,14.0,42.86,0,0,0,1.0,0.0,caught,MK Tiwary
3946,2012,261,1,Royal Challengers Bangalore,CH Gayle,68,35.0,194.29,1,1,0,2.0,6.0,caught,DJ Bravo
3952,2012,261,1,Royal Challengers Bangalore,V Kohli,57,46.0,123.91,1,1,0,5.0,2.0,caught,F du Plessis
4044,2012,267,2,Royal Challengers Bangalore,CH Gayle,8,9.0,88.89,0,0,0,0.0,1.0,bowled,0
4052,2012,267,2,Royal Challengers Bangalore,V Kohli,22,18.0,122.22,0,0,0,2.0,0.0,bowled,0
4089,2012,270,2,Royal Challengers Bangalore,CH Gayle,81,48.0,168.75,1,1,0,4.0,8.0,bowled,0
4093,2012,270,2,Royal Challengers Bangalore,V Kohli,16,19.0,84.21,0,0,0,1.0,0.0,caught,R Sharma
4139,2012,274,2,Royal Challengers Bangalore,CH Gayle,87,56.0,155.36,1,1,0,8.0,4.0,caught,DJ Hussey
4143,2012,274,2,Royal Challengers Bangalore,V Kohli,4,4.0,100.0,0,0,0,1.0,0.0,caught,SE Marsh
