,season,batting_team,batsman,balls_faced
0,2008,Royal Challengers Bangalore,V Kohli,157.0
1,2009,Kolkata Knight Riders,CH Gayle,148.0
2,2009,Royal Challengers Bangalore,V Kohli,219.0
3,2010,Kolkata Knight Riders,CH Gayle,184.0
4,2010,Royal Challengers Bangalore,V Kohli,212.0
5,2011,Royal Challengers Bangalore,CH Gayle,332.0
6,2011,Royal Challengers Bangalore,V Kohli,460.0
7,2012,Royal Challengers Bangalore,CH Gayle,456.0
8,2012,Royal Challengers Bangalore,V Kohli,326.0
9,2013,Royal Challengers Bangalore,CH Gayle,459.0
10,2013,Royal Challengers Bangalore,V Kohli,459.0
11,2014,Royal Challengers Bangalore,CH Gayle,184.0
12,2014,Royal Challengers Bangalore,V Kohli,294.0
13,2015,Royal Challengers Bangalore,CH Gayle,333.0
14,2015,Royal Challengers Bangalore,V Kohli,386.0
15,2016,Royal Challengers Bangalore,CH Gayle,150.0
16,2016,Royal Challengers Bangalore,V Kohli,640.0
