,match_id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,Team1_score,Team2_score,win_by_runs,win_by_wickets,Team1_extras,Team2_extras,Team1_superover_score,Team2_superover_score,Team1_superover_extras,Team2_superover_extras,player_of_match,match-type,venue,umpire1,umpire2,umpire3
0,1,2008,Bangalore,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,222.0,82.0,140,0,17.0,19.0,,,,,BB McCullum,Pre-Qualifier,M Chinnaswamy Stadium,Asad Rauf,RE Koertzen,
1,2,2008,Chandigarh,2008-04-19,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,0,Chennai Super Kings,240.0,207.0,33,0,6.0,11.0,,,,,MEK Hussey,Pre-Qualifier,"Punjab Cricket Association Stadium, Mohali",MR Benson,SL Shastri,
2,3,2008,Delhi,2008-04-19,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,normal,0,Delhi Daredevils,129.0,132.0,0,9,7.0,10.0,,,,,MF Maharoof,Pre-Qualifier,Feroz Shah Kotla,Aleem Dar,GA Pratapkumar,
3,4,2008,Mumbai,2008-04-20,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,165.0,166.0,0,5,11.0,5.0,,,,,MV Boucher,Pre-Qualifier,Wankhede Stadium,SJ Davis,DJ Harper,
4,5,2008,Kolkata,2008-04-20,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,normal,0,Kolkata Knight Riders,110.0,112.0,0,5,10.0,28.0,,,,,DJ Hussey,Pre-Qualifier,Eden Gardens,BF Bowden,K Hariharan,
5,6,2008,Jaipur,2008-04-21,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,normal,0,Rajasthan Royals,166.0,168.0,0,6,4.0,12.0,,,,,SR Watson,Pre-Qualifier,Sawai Mansingh Stadium,Aleem Dar,RB Tiffin,
6,7,2008,Hyderabad,2008-04-22,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,Delhi Daredevils,142.0,143.0,0,9,5.0,12.0,,,,,V Sehwag,Pre-Qualifier,"Rajiv Gandhi International Stadium, Uppal",IL Howell,AM Saheba,
7,8,2008,Chennai,2008-04-23,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Chennai Super Kings,208.0,202.0,6,0,18.0,13.0,,,,,ML Hayden,Pre-Qualifier,"MA Chidambaram Stadium, Chepauk",DJ Harper,GA Pratapkumar,
8,9,2008,Hyderabad,2008-04-24,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,214.0,217.0,0,3,6.0,7.0,,,,,YK Pathan,Pre-Qualifier,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,MR Benson,
9,10,2008,Chandigarh,2008-04-25,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings XI Punjab,182.0,116.0,66,0,7.0,7.0,,,,,KC Sangakkara,Pre-Qualifier,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,AM Saheba,
10,11,2008,Bangalore,2008-04-26,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,135.0,138.0,0,7,6.0,3.0,,,,,SR Watson,Pre-Qualifier,M Chinnaswamy Stadium,MR Benson,IL Howell,
11,12,2008,Chennai,2008-04-26,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,147.0,152.0,0,9,8.0,18.0,,,,,JDP Oram,Pre-Qualifier,"MA Chidambaram Stadium, Chepauk",BF Bowden,AV Jayaprakash,
12,13,2008,Mumbai,2008-04-27,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,154.0,155.0,0,10,11.0,9.0,,,,,AC Gilchrist,Pre-Qualifier,Dr DY Patil Sports Academy,Asad Rauf,SL Shastri,
13,14,2008,Chandigarh,2008-04-27,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,0,Kings XI Punjab,158.0,162.0,0,4,11.0,9.0,,,,,SM Katich,Pre-Qualifier,"Punjab Cricket Association Stadium, Mohali",RE Koertzen,I Shivram,
14,15,2008,Bangalore,2008-04-28,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Chennai Super Kings,178.0,165.0,13,0,4.0,7.0,,,,,MS Dhoni,Pre-Qualifier,M Chinnaswamy Stadium,BR Doctrove,RB Tiffin,
15,16,2008,Kolkata,2008-04-29,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Mumbai Indians,137.0,138.0,0,7,13.0,15.0,,,,,ST Jayasuriya,Pre-Qualifier,Eden Gardens,BF Bowden,AV Jayaprakash,
16,17,2008,Delhi,2008-04-30,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Delhi Daredevils,191.0,181.0,10,0,4.0,12.0,,,,,GD McGrath,Pre-Qualifier,Feroz Shah Kotla,Aleem Dar,I Shivram,
