,season,match_id,inning,batting_team,batsman,batsman_runs,balls_faced,Strike-Rate,More-Than-30,More-Than-50,More-Than-100,4s,6s,dismissal_kind,fielder
0,2008,1,1,Kolkata Knight Riders,BB McCullum,158,73.0,216.44,1,1,1,10.0,13.0,0,0
1,2008,1,1,Kolkata Knight Riders,DJ Hussey,12,12.0,100.0,0,0,0,1.0,0.0,caught,CL White
2,2008,1,1,Kolkata Knight Riders,Mohammad Hafeez,5,3.0,166.67,0,0,0,1.0,0.0,0,0
3,2008,1,1,Kolkata Knight Riders,RT Ponting,20,20.0,100.0,0,0,0,1.0,1.0,caught,P Kumar
4,2008,1,1,Kolkata Knight Riders,SC Ganguly,10,12.0,83.33,0,0,0,2.0,0.0,caught,JH Kallis
5,2008,1,2,Royal Challengers Bangalore,AA Noffke,9,10.0,90.0,0,0,0,1.0,0.0,run out,AB Agarkar
6,2008,1,2,Royal Challengers Bangalore,B Akhil,0,2.0,0.0,0,0,0,0.0,0.0,caught,RT Ponting
7,2008,1,2,Royal Challengers Bangalore,CL White,6,10.0,60.0,0,0,0,0.0,0.0,caught,WP Saha
8,2008,1,2,Royal Challengers Bangalore,JH Kallis,8,7.0,114.29,0,0,0,0.0,1.0,caught,M Kartik
9,2008,1,2,Royal Challengers Bangalore,MV Boucher,7,9.0,77.78,0,0,0,1.0,0.0,caught,M Kartik
10,2008,1,2,Royal Challengers Bangalore,P Kumar,18,15.0,120.0,0,0,0,1.0,2.0,0,0
11,2008,1,2,Royal Challengers Bangalore,R Dravid,2,3.0,66.67,0,0,0,0.0,0.0,bowled,0
12,2008,1,2,Royal Challengers Bangalore,SB Joshi,3,6.0,50.0,0,0,0,0.0,0.0,caught,BB McCullum
13,2008,1,2,Royal Challengers Bangalore,V Kohli,1,5.0,20.0,0,0,0,0.0,0.0,bowled,0
14,2008,1,2,Royal Challengers Bangalore,W Jaffer,6,16.0,37.5,0,0,0,0.0,0.0,caught,RT Ponting
15,2008,1,2,Royal Challengers Bangalore,Z Khan,3,8.0,37.5,0,0,0,0.0,0.0,bowled,0
16,2008,2,1,Chennai Super Kings,JDP Oram,13,10.0,130.0,0,0,0,0.0,1.0,bowled,0
17,2008,2,1,Chennai Super Kings,MEK Hussey,116,54.0,214.81,1,1,1,8.0,9.0,0,0
18,2008,2,1,Chennai Super Kings,ML Hayden,25,17.0,147.06,0,0,0,4.0,1.0,bowled,0
19,2008,2,1,Chennai Super Kings,MS Dhoni,2,3.0,66.67,0,0,0,0.0,0.0,lbw,0
20,2008,2,1,Chennai Super Kings,PA Patel,15,10.0,150.0,0,0,0,3.0,0.0,caught,KC Sangakkara
21,2008,2,1,Chennai Super Kings,S Badrinath,31,14.0,221.43,1,0,0,3.0,2.0,0,0
22,2008,2,1,Chennai Super Kings,SK Raina,32,13.0,246.15,1,0,0,2.0,3.0,caught,IK Pathan
23,2008,2,2,Kings XI Punjab,IK Pathan,3,5.0,60.0,0,0,0,0.0,0.0,0,0
24,2008,2,2,Kings XI Punjab,JR Hopes,71,33.0,215.15,1,1,0,10.0,3.0,caught,Joginder Sharma
25,2008,2,2,Kings XI Punjab,K Goel,24,19.0,126.32,0,0,0,2.0,1.0,caught,PA Patel
26,2008,2,2,Kings XI Punjab,KC Sangakkara,54,33.0,163.64,1,1,0,5.0,2.0,caught,Joginder Sharma
27,2008,2,2,Kings XI Punjab,SM Katich,21,17.0,123.53,0,0,0,0.0,1.0,0,0
28,2008,2,2,Kings XI Punjab,Yuvraj Singh,23,13.0,176.92,0,0,0,1.0,2.0,caught,P Amarnath
29,2008,3,1,Rajasthan Royals,D Salunkhe,26,20.0,130.0,0,0,0,4.0,0.0,0,0
30,2008,3,1,Rajasthan Royals,DS Lehmann,1,2.0,50.0,0,0,0,0.0,0.0,lbw,0
31,2008,3,1,Rajasthan Royals,M Kaif,9,19.0,47.37,0,0,0,0.0,0.0,caught,B Geeves
32,2008,3,1,Rajasthan Royals,M Rawat,2,4.0,50.0,0,0,0,0.0,0.0,bowled,0
